ONS Code;Region;Local Authority;Valid Blue Badges held without further assessment;Of which on Higher Rate Mobility/Moving around PIP/ Journey planning PIP [note 3];Other category [note 4];Valid Blue Badges held subject to further assessment;Valid Blue Badges held by organisations;Total valid Blue Badges held by organisations and individuals
E92000001;England;All local authorities;987.171;922.766;64.405;1.428.664;19.806;2.435.641
E12000001;North East;All North East;61.611;58.047;3.564;72.802;938;135.351
E06000047;North East;County Durham;13.999;13.301;698;13.691;194;27.884
E06000005;North East;Darlington;2.232;2.065;167;3.667;46;5.945
E06000001;North East;Hartlepool;3.173;3.023;150;2.303;54;5.530
E06000002;North East;Middlesbrough;3.138;2.971;167;3.354;54;6.546
E06000057;North East;Northumberland;7.597;7.170;427;8.410;235;16.242
E06000003;North East;Redcar and Cleveland;3.459;3.228;231;4.158;63;7.680
E06000004;North East;Stockton-on-Tees;3.355;3.143;212;9.425;30;12.810
E11000007;North East;Tyne and Wear;24.658;23.146;1.512;27.794;262;52.714
E08000037;North East;Gateshead;4.026;3.812;214;4.893;32;8.951
E08000021;North East;Newcastle upon Tyne;4.542;4.267;275;4.634;45;9.221
E08000022;North East;North Tyneside;4.096;3.755;341;4.186;42;8.324
E08000023;North East;South Tyneside;3.994;3.795;199;3.440;42;7.476
E08000024;North East;Sunderland;8.000;7.517;483;10.641;101;18.742
E12000002;North West;All North West ;166.166;157.720;8.446;186.660;1.714;354.540
E06000008;North West;Blackburn with Darwen;3.371;3.161;210;3.104;0;6.475
E06000009;North West;Blackpool;4.347;4.134;213;3.885;55;8.287
E06000049;North West;Cheshire East;5.095;4.765;330;15.662;81;20.838
E06000050;North West;Cheshire West and Chester;7.680;7.237;443;10.342;127;18.149
E06000006;North West;Halton;4.401;4.239;162;2.858;71;7.330
E06000007;North West;Warrington;4.258;4.050;208;5.400;22;9.680
E10000006;North West;Cumbria ;9.401;8.821;580;17.526;118;27.045
E11000001;North West;Greater Manchester;60.975;58.042;2.933;64.055;795;125.825
E08000001;North West;Bolton;6.588;6.146;442;7.986;135;14.709
E08000002;North West;Bury;3.957;3.805;152;5.880;74;9.911
E08000003;North West;Manchester;10.111;9.704;407;6.782;215;17.108
E08000004;North West;Oldham ;4.868;4.546;322;4.329;25;9.222
E08000005;North West;Rochdale;5.119;4.881;238;5.557;34;10.710
E08000006;North West;Salford;5.647;5.432;215;6.079;14;11.740
E08000007;North West;Stockport;5.508;5.209;299;7.265;126;12.899
E08000008;North West;Tameside;5.711;5.355;356;5.298;50;11.059
E08000009;North West;Trafford;4.275;4.072;203;5.145;50;9.470
E08000010;North West;Wigan;9.191;8.892;299;9.734;72;18.997
E10000017;North West;Lancashire;28.210;26.605;1.605;34.604;161;62.975
E11000002;North West;Merseyside;38.428;36.666;1.762;29.224;284;67.936
E08000011;North West;Knowsley ;4.943;4.749;194;2.609;40;7.592
E08000012;North West;Liverpool;11.948;11.484;464;5.764;26;17.738
E08000014;North West;Sefton;6.814;6.495;319;7.173;48;14.035
E08000013;North West;St. Helens;5.818;5.393;425;6.296;94;12.208
E08000015;North West;Wirral;8.905;8.545;360;7.382;76;16.363
E12000003;Yorkshire and the Humber;All Yorkshire and the Humber;110.349;103.762;6.587;133.987;1.665;246.001
E06000011;Yorkshire and the Humber;East Riding of Yorkshire;7.660;7.225;435;12.816;71;20.547
E06000010;Yorkshire and the Humber;Kingston upon Hull, City of;5.706;5.501;205;5.601;103;11.410
E06000012;Yorkshire and the Humber;North East Lincolnshire;3.318;3.136;182;4.219;70;7.607
E06000013;Yorkshire and the Humber;North Lincolnshire;3.508;3.335;173;6.906;42;10.456
E06000014;Yorkshire and the Humber;York;2.510;2.212;298;4.321;50;6.881
E10000023;Yorkshire and the Humber;North Yorkshire;9.461;8.624;837;22.363;302;32.126
E11000003;Yorkshire and the Humber;South Yorkshire;34.576;33.054;1.522;29.023;351;63.950
E08000016;Yorkshire and the Humber;Barnsley;8.138;7.824;314;5.478;17;13.633
E08000017;Yorkshire and the Humber;Doncaster;8.337;8.006;331;6.672;140;15.149
E08000018;Yorkshire and the Humber;Rotherham ;7.459;7.157;302;6.877;69;14.405
