Feature Identifier,Feature Name
http://opendatacommunities.org/id/geography/administration/lonb/E09000001,City of London
http://opendatacommunities.org/id/geography/administration/lonb/E09000002,Barking and Dagenham
http://opendatacommunities.org/id/geography/administration/lonb/E09000003,Barnet
http://opendatacommunities.org/id/geography/administration/lonb/E09000004,Bexley
http://opendatacommunities.org/id/geography/administration/lonb/E09000005,Brent
http://opendatacommunities.org/id/geography/administration/lonb/E09000006,Bromley
http://opendatacommunities.org/id/geography/administration/lonb/E09000007,Camden
http://opendatacommunities.org/id/geography/administration/lonb/E09000008,Croydon
http://opendatacommunities.org/id/geography/administration/lonb/E09000009,Ealing
http://opendatacommunities.org/id/geography/administration/lonb/E09000010,Enfield
http://opendatacommunities.org/id/geography/administration/lonb/E09000011,Greenwich
http://opendatacommunities.org/id/geography/administration/lonb/E09000012,Hackney
http://opendatacommunities.org/id/geography/administration/lonb/E09000013,Hammersmith and Fulham
http://opendatacommunities.org/id/geography/administration/lonb/E09000014,Haringey
http://opendatacommunities.org/id/geography/administration/lonb/E09000015,Harrow
http://opendatacommunities.org/id/geography/administration/lonb/E09000016,Havering
http://opendatacommunities.org/id/geography/administration/lonb/E09000017,Hillingdon
http://opendatacommunities.org/id/geography/administration/lonb/E09000018,Hounslow
http://opendatacommunities.org/id/geography/administration/lonb/E09000019,Islington
http://opendatacommunities.org/id/geography/administration/lonb/E09000020,Kensington and Chelsea
http://opendatacommunities.org/id/geography/administration/lonb/E09000021,Kingston upon Thames
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,Lambeth
http://opendatacommunities.org/id/geography/administration/lonb/E09000023,Lewisham
http://opendatacommunities.org/id/geography/administration/lonb/E09000024,Merton
http://opendatacommunities.org/id/geography/administration/lonb/E09000025,Newham
http://opendatacommunities.org/id/geography/administration/lonb/E09000026,Redbridge
http://opendatacommunities.org/id/geography/administration/lonb/E09000027,Richmond upon Thames
http://opendatacommunities.org/id/geography/administration/lonb/E09000028,Southwark
http://opendatacommunities.org/id/geography/administration/lonb/E09000029,Sutton
http://opendatacommunities.org/id/geography/administration/lonb/E09000030,Tower Hamlets
http://opendatacommunities.org/id/geography/administration/lonb/E09000031,Waltham Forest
http://opendatacommunities.org/id/geography/administration/lonb/E09000032,Wandsworth
http://opendatacommunities.org/id/geography/administration/lonb/E09000033,Westminster
http://opendatacommunities.org/id/geography/administration/md/E08000001,Bolton
http://opendatacommunities.org/id/geography/administration/md/E08000002,Bury
http://opendatacommunities.org/id/geography/administration/md/E08000003,Manchester
http://opendatacommunities.org/id/geography/administration/md/E08000004,Oldham
http://opendatacommunities.org/id/geography/administration/md/E08000005,Rochdale
http://opendatacommunities.org/id/geography/administration/md/E08000006,Salford
http://opendatacommunities.org/id/geography/administration/md/E08000007,Stockport
http://opendatacommunities.org/id/geography/administration/md/E08000008,Tameside
http://opendatacommunities.org/id/geography/administration/md/E08000009,Trafford
http://opendatacommunities.org/id/geography/administration/md/E08000010,Wigan
http://opendatacommunities.org/id/geography/administration/md/E08000011,Knowsley
http://opendatacommunities.org/id/geography/administration/md/E08000012,Liverpool
http://opendatacommunities.org/id/geography/administration/md/E08000013,St. Helens
http://opendatacommunities.org/id/geography/administration/md/E08000014,Sefton
http://opendatacommunities.org/id/geography/administration/md/E08000015,Wirral
http://opendatacommunities.org/id/geography/administration/md/E08000016,Barnsley
http://opendatacommunities.org/id/geography/administration/md/E08000017,Doncaster
http://opendatacommunities.org/id/geography/administration/md/E08000018,Rotherham
http://opendatacommunities.org/id/geography/administration/md/E08000019,Sheffield
http://opendatacommunities.org/id/geography/administration/md/E08000021,Newcastle upon Tyne
http://opendatacommunities.org/id/geography/administration/md/E08000022,North Tyneside
http://opendatacommunities.org/id/geography/administration/md/E08000023,South Tyneside
http://opendatacommunities.org/id/geography/administration/md/E08000024,Sunderland
http://opendatacommunities.org/id/geography/administration/md/E08000025,Birmingham
http://opendatacommunities.org/id/geography/administration/md/E08000026,Coventry
http://opendatacommunities.org/id/geography/administration/md/E08000027,Dudley
http://opendatacommunities.org/id/geography/administration/md/E08000028,Sandwell
http://opendatacommunities.org/id/geography/administration/md/E08000029,Solihull
http://opendatacommunities.org/id/geography/administration/md/E08000030,Walsall
http://opendatacommunities.org/id/geography/administration/md/E08000031,Wolverhampton
http://opendatacommunities.org/id/geography/administration/md/E08000032,Bradford
http://opendatacommunities.org/id/geography/administration/md/E08000033,Calderdale
http://opendatacommunities.org/id/geography/administration/md/E08000034,Kirklees
http://opendatacommunities.org/id/geography/administration/md/E08000035,Leeds
http://opendatacommunities.org/id/geography/administration/md/E08000036,Wakefield
http://opendatacommunities.org/id/geography/administration/md/E08000037,Gateshead
http://opendatacommunities.org/id/geography/administration/nmd/E07000008,Cambridge
http://opendatacommunities.org/id/geography/administration/nmd/E07000009,East Cambridgeshire
http://opendatacommunities.org/id/geography/administration/nmd/E07000010,Fenland
http://opendatacommunities.org/id/geography/administration/nmd/E07000011,Huntingdonshire
http://opendatacommunities.org/id/geography/administration/nmd/E07000012,South Cambridgeshire
http://opendatacommunities.org/id/geography/administration/nmd/E07000026,Allerdale
http://opendatacommunities.org/id/geography/administration/nmd/E07000027,Barrow-in-Furness
http://opendatacommunities.org/id/geography/administration/nmd/E07000028,Carlisle
http://opendatacommunities.org/id/geography/administration/nmd/E07000029,Copeland
http://opendatacommunities.org/id/geography/administration/nmd/E07000030,Eden
http://opendatacommunities.org/id/geography/administration/nmd/E07000031,South Lakeland
http://opendatacommunities.org/id/geography/administration/nmd/E07000032,Amber Valley
http://opendatacommunities.org/id/geography/administration/nmd/E07000033,Bolsover
http://opendatacommunities.org/id/geography/administration/nmd/E07000034,Chesterfield
http://opendatacommunities.org/id/geography/administration/nmd/E07000035,Derbyshire Dales
http://opendatacommunities.org/id/geography/administration/nmd/E07000036,Erewash
http://opendatacommunities.org/id/geography/administration/nmd/E07000037,High Peak
http://opendatacommunities.org/id/geography/administration/nmd/E07000038,North East Derbyshire
http://opendatacommunities.org/id/geography/administration/nmd/E07000039,South Derbyshire
http://opendatacommunities.org/id/geography/administration/nmd/E07000040,East Devon
http://opendatacommunities.org/id/geography/administration/nmd/E07000041,Exeter
http://opendatacommunities.org/id/geography/administration/nmd/E07000042,Mid Devon
http://opendatacommunities.org/id/geography/administration/nmd/E07000043,North Devon
http://opendatacommunities.org/id/geography/administration/nmd/E07000044,South Hams
http://opendatacommunities.org/id/geography/administration/nmd/E07000045,Teignbridge
http://opendatacommunities.org/id/geography/administration/nmd/E07000046,Torridge
http://opendatacommunities.org/id/geography/administration/nmd/E07000047,West Devon
http://opendatacommunities.org/id/geography/administration/nmd/E07000061,Eastbourne
http://opendatacommunities.org/id/geography/administration/nmd/E07000062,Hastings
http://opendatacommunities.org/id/geography/administration/nmd/E07000063,Lewes
http://opendatacommunities.org/id/geography/administration/nmd/E07000064,Rother
http://opendatacommunities.org/id/geography/administration/nmd/E07000065,Wealden
http://opendatacommunities.org/id/geography/administration/nmd/E07000066,Basildon
http://opendatacommunities.org/id/geography/administration/nmd/E07000067,Braintree
http://opendatacommunities.org/id/geography/administration/nmd/E07000068,Brentwood
http://opendatacommunities.org/id/geography/administration/nmd/E07000069,Castle Point
http://opendatacommunities.org/id/geography/administration/nmd/E07000070,Chelmsford
http://opendatacommunities.org/id/geography/administration/nmd/E07000071,Colchester
http://opendatacommunities.org/id/geography/administration/nmd/E07000072,Epping Forest
http://opendatacommunities.org/id/geography/administration/nmd/E07000073,Harlow
http://opendatacommunities.org/id/geography/administration/nmd/E07000074,Maldon
http://opendatacommunities.org/id/geography/administration/nmd/E07000075,Rochford
http://opendatacommunities.org/id/geography/administration/nmd/E07000076,Tendring
http://opendatacommunities.org/id/geography/administration/nmd/E07000077,Uttlesford
http://opendatacommunities.org/id/geography/administration/nmd/E07000078,Cheltenham
http://opendatacommunities.org/id/geography/administration/nmd/E07000079,Cotswold
http://opendatacommunities.org/id/geography/administration/nmd/E07000080,Forest of Dean
http://opendatacommunities.org/id/geography/administration/nmd/E07000081,Gloucester
http://opendatacommunities.org/id/geography/administration/nmd/E07000082,Stroud
http://opendatacommunities.org/id/geography/administration/nmd/E07000083,Tewkesbury
http://opendatacommunities.org/id/geography/administration/nmd/E07000084,Basingstoke and Deane
http://opendatacommunities.org/id/geography/administration/nmd/E07000085,East Hampshire
http://opendatacommunities.org/id/geography/administration/nmd/E07000086,Eastleigh
http://opendatacommunities.org/id/geography/administration/nmd/E07000087,Fareham
http://opendatacommunities.org/id/geography/administration/nmd/E07000088,Gosport
http://opendatacommunities.org/id/geography/administration/nmd/E07000089,Hart
http://opendatacommunities.org/id/geography/administration/nmd/E07000090,Havant
http://opendatacommunities.org/id/geography/administration/nmd/E07000091,New Forest
http://opendatacommunities.org/id/geography/administration/nmd/E07000092,Rushmoor
http://opendatacommunities.org/id/geography/administration/nmd/E07000093,Test Valley
http://opendatacommunities.org/id/geography/administration/nmd/E07000094,Winchester
http://opendatacommunities.org/id/geography/administration/nmd/E07000095,Broxbourne
http://opendatacommunities.org/id/geography/administration/nmd/E07000096,Dacorum
http://opendatacommunities.org/id/geography/administration/nmd/E07000098,Hertsmere
http://opendatacommunities.org/id/geography/administration/nmd/E07000099,North Hertfordshire
http://opendatacommunities.org/id/geography/administration/nmd/E07000102,Three Rivers
http://opendatacommunities.org/id/geography/administration/nmd/E07000103,Watford
http://opendatacommunities.org/id/geography/administration/nmd/E07000105,Ashford
http://opendatacommunities.org/id/geography/administration/nmd/E07000106,Canterbury
http://opendatacommunities.org/id/geography/administration/nmd/E07000107,Dartford
http://opendatacommunities.org/id/geography/administration/nmd/E07000108,Dover
http://opendatacommunities.org/id/geography/administration/nmd/E07000109,Gravesham
http://opendatacommunities.org/id/geography/administration/nmd/E07000110,Maidstone
http://opendatacommunities.org/id/geography/administration/nmd/E07000111,Sevenoaks
http://opendatacommunities.org/id/geography/administration/nmd/E07000112,Folkestone and Hythe
http://opendatacommunities.org/id/geography/administration/nmd/E07000113,Swale
http://opendatacommunities.org/id/geography/administration/nmd/E07000114,Thanet
http://opendatacommunities.org/id/geography/administration/nmd/E07000115,Tonbridge and Malling
http://opendatacommunities.org/id/geography/administration/nmd/E07000116,Tunbridge Wells
http://opendatacommunities.org/id/geography/administration/nmd/E07000117,Burnley
http://opendatacommunities.org/id/geography/administration/nmd/E07000118,Chorley
http://opendatacommunities.org/id/geography/administration/nmd/E07000119,Fylde
http://opendatacommunities.org/id/geography/administration/nmd/E07000120,Hyndburn
http://opendatacommunities.org/id/geography/administration/nmd/E07000121,Lancaster
http://opendatacommunities.org/id/geography/administration/nmd/E07000122,Pendle
http://opendatacommunities.org/id/geography/administration/nmd/E07000123,Preston
http://opendatacommunities.org/id/geography/administration/nmd/E07000124,Ribble Valley
http://opendatacommunities.org/id/geography/administration/nmd/E07000125,Rossendale
http://opendatacommunities.org/id/geography/administration/nmd/E07000126,South Ribble
http://opendatacommunities.org/id/geography/administration/nmd/E07000127,West Lancashire
http://opendatacommunities.org/id/geography/administration/nmd/E07000128,Wyre
http://opendatacommunities.org/id/geography/administration/nmd/E07000129,Blaby
http://opendatacommunities.org/id/geography/administration/nmd/E07000130,Charnwood
http://opendatacommunities.org/id/geography/administration/nmd/E07000131,Harborough
http://opendatacommunities.org/id/geography/administration/nmd/E07000132,Hinckley and Bosworth
http://opendatacommunities.org/id/geography/administration/nmd/E07000133,Melton
http://opendatacommunities.org/id/geography/administration/nmd/E07000134,North West Leicestershire
http://opendatacommunities.org/id/geography/administration/nmd/E07000135,Oadby and Wigston
http://opendatacommunities.org/id/geography/administration/nmd/E07000136,Boston
http://opendatacommunities.org/id/geography/administration/nmd/E07000137,East Lindsey
http://opendatacommunities.org/id/geography/administration/nmd/E07000138,Lincoln
http://opendatacommunities.org/id/geography/administration/nmd/E07000139,North Kesteven
http://opendatacommunities.org/id/geography/administration/nmd/E07000140,South Holland
http://opendatacommunities.org/id/geography/administration/nmd/E07000141,South Kesteven
http://opendatacommunities.org/id/geography/administration/nmd/E07000142,West Lindsey
http://opendatacommunities.org/id/geography/administration/nmd/E07000143,Breckland
http://opendatacommunities.org/id/geography/administration/nmd/E07000144,Broadland
http://opendatacommunities.org/id/geography/administration/nmd/E07000145,Great Yarmouth
http://opendatacommunities.org/id/geography/administration/nmd/E07000146,King's Lynn and West Norfolk
http://opendatacommunities.org/id/geography/administration/nmd/E07000147,North Norfolk
http://opendatacommunities.org/id/geography/administration/nmd/E07000148,Norwich
http://opendatacommunities.org/id/geography/administration/nmd/E07000149,South Norfolk
http://opendatacommunities.org/id/geography/administration/nmd/E07000150,Corby
http://opendatacommunities.org/id/geography/administration/nmd/E07000151,Daventry
http://opendatacommunities.org/id/geography/administration/nmd/E07000152,East Northamptonshire
http://opendatacommunities.org/id/geography/administration/nmd/E07000153,Kettering
http://opendatacommunities.org/id/geography/administration/nmd/E07000154,Northampton
http://opendatacommunities.org/id/geography/administration/nmd/E07000155,South Northamptonshire
http://opendatacommunities.org/id/geography/administration/nmd/E07000156,Wellingborough
http://opendatacommunities.org/id/geography/administration/nmd/E07000163,Craven
http://opendatacommunities.org/id/geography/administration/nmd/E07000164,Hambleton
http://opendatacommunities.org/id/geography/administration/nmd/E07000165,Harrogate
http://opendatacommunities.org/id/geography/administration/nmd/E07000166,Richmondshire
http://opendatacommunities.org/id/geography/administration/nmd/E07000167,Ryedale
http://opendatacommunities.org/id/geography/administration/nmd/E07000168,Scarborough
http://opendatacommunities.org/id/geography/administration/nmd/E07000169,Selby
http://opendatacommunities.org/id/geography/administration/nmd/E07000170,Ashfield
http://opendatacommunities.org/id/geography/administration/nmd/E07000171,Bassetlaw
http://opendatacommunities.org/id/geography/administration/nmd/E07000172,Broxtowe
