;Local Authority;Disable_population;Transport_reliant_population
0;County Durham;119790;91906.000000
1;Darlington;21104;15159.000000
2;Hartlepool;21145;15615.000000
3;Middlesbrough;29520;22974.000000
4;Northumberland;67190;50948.000000
5;Redcar and Cleveland;30483;22803.000000
6;Stockton-on-Tees;39052;26242.000000
7;Gateshead;42548;33597.000000
8;Newcastle upon Tyne;56961;47740.000000
9;North Tyneside;41748;33424.000000
10;South Tyneside;33368;25892.000000
11;Sunderland;64396;45654.000000
12;Blackburn with Darwen;28575;22100.000000
13;Blackpool;35459;27172.000000
14;Cheshire East;67819;46981.000000
15;Cheshire West and Chester;65897;47748.000000
16;Halton;28382;21052.000000
17;Warrington;37266;27586.000000
18;Bolton;53598;38889.000000
19;Bury;35886;25975.000000
20;Manchester;96737;79629.000000
21;Oldham;44249;35027.000000
22;Rochdale;42567;31857.000000
23;Salford;49818;38078.000000
24;Stockport;53493;40594.000000
25;Tameside;46209;35150.000000
26;Trafford;37550;28080.000000
27;Wigan;65868;46871.000000
28;West Lancashire;22776;40199.000000
29;Knowsley;34990;27398.000000
30;Liverpool;105962;88224.000000
31;Sefton;61134;47099.000000
32;St. Helens;40829;28621.000000
33;Wirral;73088;56725.000000
34;East Riding of Yorkshire;63601;43054.000000
35;Kingston upon Hull, City of;53395;41985.000000
36;North East Lincolnshire;31990;24383.000000
37;North Lincolnshire;33343;22887.000000
38;York;34592;27711.000000
39;Barnsley;53916;40283.000000
40;Doncaster;62418;47269.000000
41;Rotherham;56177;41772.000000
42;Sheffield;109869;89106.000000
43;Bradford;93697;77647.000000
44;Calderdale;37860;28528.000000
45;Kirklees;75591;58297.000000
46;Leeds;135681;104365.000000
47;Wakefield;71206;52175.000000
48;Derby;49040;36165.000000
49;Leicester;57148;42919.000000
50;Nottingham;60218;50299.000000
51;Rutland;6523;4755.000000
52;Derbyshire Dales;13177;37988.000000
53;North West Leicestershire;18330;12380.000000
54;Lincoln;21323;23758.000000
55;East Northamptonshire;62313;45320.000000
56;South Northamptonshire;64876;47680.000000
57;Herefordshire, County of;34828;26381.000000
58;Shropshire;59990;45453.000000
59;Stoke-on-Trent;54607;41294.000000
60;Telford and Wrekin;36526;27222.000000
61;North Warwickshire;12045;12421.000000
62;Birmingham;198064;158004.000000
63;Coventry;57225;44298.000000
64;Dudley;62567;45741.000000
65;Sandwell;61047;45514.000000
66;Solihull;37234;26521.000000
67;Walsall;54153;39977.000000
68;Wolverhampton;47979;38373.000000
69;Bedford;28727;21691.000000
70;Central Bedfordshire;44032;33301.000000
71;Luton;30932;24154.000000
72;Peterborough;35180;26147.000000
73;Southend-on-Sea;33106;26158.000000
74;Thurrock;25443;16974.000000
75;East Cambridgeshire;14166;15593.000000
76;Camden;31882;25387.000000
78;Hackney;37020;30486.000000
79;Hammersmith and Fulham;22972;18841.000000
80;Haringey;36114;27884.000000
81;Islington;35063;27333.000000
82;Kensington and Chelsea;18311;15869.000000
83;Lambeth;42017;35815.000000
84;Lewisham;43248;36550.000000
85;Newham;42032;33013.000000
86;Southwark;42022;35302.000000
87;Tower Hamlets;40125;33017.000000
88;Wandsworth;37444;30832.000000
89;Westminster;28122;23267.000000
90;Barking and Dagenham;28993;21474.000000
91;Barnet;49679;34448.000000
92;Bexley;36083;26632.000000
93;Brent;41163;30468.000000
94;Bromley;45894;35237.000000
95;Croydon;54852;42952.000000
96;Ealing;44811;33871.000000
97;Enfield;44876;33479.000000
98;Greenwich;41576;34339.000000
99;Harrow;31258;22408.000000
100;Havering;38449;28829.000000
101;Hillingdon;39466;27058.000000
102;Hounslow;35294;28537.000000
103;Kingston upon Thames;21990;17441.000000
104;Merton;25902;20805.000000
105;Redbridge;37022;25562.000000
106;Richmond upon Thames;23479;18331.000000
107;Sutton;29614;22322.000000
108;Waltham Forest;36762;27286.000000
109;Bracknell Forest;16703;12705.000000
110;Brighton and Hove;51797;41085.000000
111;Isle of Wight;32755;23904.000000
112;Medway;48572;35587.000000
113;Milton Keynes;42512;31935.000000
114;Portsmouth;36648;29864.000000
115;Reading;24095;19493.000000
116;Slough;17975;14180.000000
117;Southampton;43937;35246.000000
118;West Berkshire;23671;18093.000000
119;Windsor and Maidenhead;18906;11948.000000
120;Wokingham;22159;16010.000000
121;Buckinghamshire;74601;51857.000000
122;East Hampshire;19579;39404.000000
123;Surrey Heath;12268;29884.000000
124;Bath and North East Somerset;31778;24594.000000
125;Bournemouth, Christchurch and Poole;73838;53755.000000
126;Bristol, City of;81159;62921.000000
127;Cornwall;120570;91433.000000
128;Isles of Scilly;294;40706.000000
129;North Somerset;40533;29166.000000
130;Plymouth;57395;45291.000000
131;South Gloucestershire;47429;33191.000000
132;Swindon;37075;24460.000000
133;Torbay;33224;24899.000000
134;Wiltshire;86495;63228.000000
135;Dorset;75077;49707.000000
136;South Somerset;31753;1956.000000
137;Braintree;26288;18559.125000
138;Castle Point;15884;8155.125000
139;Chelmsford;26188;18459.125000
140;Colchester;32624;24895.125000
141;Harlow;15224;7495.125000
142;Maldon;11484;3755.125000
143;Rochford;13697;5968.125000
144;Uttlesford;12230;4501.125000
145;Bromsgrove;16437;10925.833333
146;Malvern Hills;15144;9632.833333
147;Redditch;15304;9792.833333
148;Worcester;18195;12683.833333
149;Wychavon;22955;17443.833333
150;Wyre Forest;20459;14947.833333
151;North Hertfordshire;21236;7356.500000
152;King's Lynn and West Norfolk;31213;19678.000000
153;South Norfolk;25142;13607.000000
154;North Norfolk;23227;11692.000000
155;South Oxfordshire;20899;10285.000000
156;West Oxfordshire;17296;6682.000000
157;East Devon;29413;19066.250000
158;Mid Devon;15326;4979.250000
159;West Devon;11896;1549.250000
160;North Devon;19298;8951.250000
